 Dimension	Total time	 Time Intervals	  Learning rate	        Subnets	     Epoch	Batch size	    Sample size	                              Model	       Ans	   Seconds	Processors	           Mode	        File No
       100	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   57.4832	       765	         4	   Master-Slave	    slurm-21126
       200	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   54.0355	      1130	         4	   Master-Slave	    slurm-21127
       300	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   51.6311	      1526	         4	   Master-Slave	    slurm-21128
       400	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   50.8645	      1897	         4	   Master-Slave	    slurm-21129
       500	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   50.3142	      2145	         4	   Master-Slave	    slurm-21130
       100	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   57.2329	       475	         8	   Master-Slave	    slurm-21131
       200	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   53.3213	       704	         8	   Master-Slave	    slurm-21132
       300	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   51.5992	       950	         8	   Master-Slave	    slurm-21133
       400	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   51.4277	      1233	         8	   Master-Slave	    slurm-21134
       500	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   50.4869	      1446	         8	   Master-Slave	    slurm-21135
       100	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	    56.137	       328	        16	   Master-Slave	    slurm-21136
       200	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   53.8918	       534	        16	   Master-Slave	    slurm-21137
       300	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   52.1886	       743	        16	   Master-Slave	    slurm-21138
       400	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   50.8419	      1543	        16	   Master-Slave	    slurm-21139
       500	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   49.9697	      1850	        16	   Master-Slave	    slurm-21140
       100	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   57.0816	       344	        32	   Master-Slave	    slurm-21141
       300	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   51.6511	       660	        32	   Master-Slave	    slurm-21143
       400	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   50.8048	       812	        32	   Master-Slave	    slurm-21144
       500	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   50.0454	      1030	        32	   Master-Slave	    slurm-21145
       100	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   57.8498	       801	        64	   Master-Slave	    slurm-21146
       200	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   53.4848	      1025	        64	   Master-Slave	    slurm-21147
       300	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   51.6435	       779	        64	   Master-Slave	    slurm-21148
       400	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   51.3282	      1013	        64	   Master-Slave	    slurm-21149
       500	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   50.1427	      1278	        64	   Master-Slave	    slurm-21150
       100	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   56.2916	      1161	       128	   Master-Slave	    slurm-21151
       200	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	    53.722	      1526	       128	   Master-Slave	    slurm-21152
       300	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   51.9621	      2254	       128	   Master-Slave	    slurm-21153
       400	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   50.7538	      3400	       128	   Master-Slave	    slurm-21154
       500	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   49.8823	      1422	       128	   Master-Slave	    slurm-21155
       100	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   4.51382	       564	         4	   Master-Slave	    slurm-21156
       200	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	     5.227	      1020	         4	   Master-Slave	    slurm-21157
       300	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   5.48062	      1443	         4	   Master-Slave	    slurm-21158
       100	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   4.49047	       471	         8	   Master-Slave	    slurm-21159
       200	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   5.18113	       865	         8	   Master-Slave	    slurm-21160
       300	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   5.48642	      1222	         8	   Master-Slave	    slurm-21161
       100	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   4.51512	       369	        16	   Master-Slave	    slurm-21162
       200	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   5.19533	       625	        16	   Master-Slave	    slurm-21163
       300	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   5.50613	       904	        16	   Master-Slave	    slurm-21164
       100	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   4.46517	       445	        32	   Master-Slave	    slurm-21165
       200	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   5.19415	       683	        32	   Master-Slave	    slurm-21166
       300	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   5.49659	      1028	        32	   Master-Slave	    slurm-21167
       200	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   5.19534	      1053	        64	   Master-Slave	    slurm-21169
       300	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   5.48686	      1013	        64	   Master-Slave	    slurm-21170
       100	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   4.48069	      1314	       128	   Master-Slave	    slurm-21171
       200	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   5.15129	      2272	       128	   Master-Slave	    slurm-21172
       300	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   5.43295	      3059	       128	   Master-Slave	    slurm-21173
       100	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0417896	       759	         4	   Master-Slave	    slurm-21180
       200	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0298901	      1367	         4	   Master-Slave	    slurm-21181
       300	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	   0.04196	      1940	         4	   Master-Slave	    slurm-21182
       100	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0588307	       626	         8	   Master-Slave	    slurm-21183
       200	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0346936	      1147	         8	   Master-Slave	    slurm-21184
       300	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0164686	      1635	         8	   Master-Slave	    slurm-21185
       100	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0500521	       470	        16	   Master-Slave	    slurm-21186
       200	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0224438	       852	        16	   Master-Slave	    slurm-21187
       300	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0182614	      1234	        16	   Master-Slave	    slurm-21188
       100	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0373923	       584	        32	   Master-Slave	    slurm-21189
       200	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0343524	       881	        32	   Master-Slave	    slurm-21190
       300	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0174004	      1227	        32	   Master-Slave	    slurm-21191
       100	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0697442	      1431	        64	   Master-Slave	    slurm-21192
       200	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0284906	      2265	        64	   Master-Slave	    slurm-21193
       300	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0113715	      1417	        64	   Master-Slave	    slurm-21194
       100	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	 0.0731628	      1930	       128	   Master-Slave	    slurm-21195
       200	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	  0.055061	      2685	       128	   Master-Slave	    slurm-21196
       300	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	            256	                AllenCahn_parallel_	  0.064517	      3925	       128	   Master-Slave	    slurm-21197
       100	         1	             20	           0.01	     110, 110, 	      3000	         1	            256	                    HJBLQ_parallel_	   4.51212	      2281	        64	   Master-Slave	    slurm-21239
       200	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   53.4566	       461	        32	   Master-Slave	    slurm-21240
       200	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   53.5786	      1077	         4	   Master-Slave	    slurm-21243
       100	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   57.1049	       777	         4	 Ring-Allreduce	    slurm-21289
       200	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	     pricing_default_risk_parallel_	   53.5146	      1094	         4	 Ring-Allreduce	    slurm-21290
