 Dimension	Total time	 Time Intervals	  Learning rate	        Subnets	     Epoch	Batch size	    Sample size	                         Model	       Ans	   Seconds	        File No
          	          	               	               	               	          	          	               	                              	   54.5796	      5201	    slurm-17844
          	          	               	               	               	          	          	               	                              	   52.5488	      6929	    slurm-17872
          	          	               	               	               	          	          	               	                              	   51.7208	      9117	    slurm-17873
          	          	               	               	               	          	          	               	                              	   49.7168	     10375	    slurm-17874
          	          	               	               	               	          	          	               	                              	   4.49816	      1127	    slurm-17875
          	          	               	               	               	          	          	               	                              	    5.0783	      1127	    slurm-17876
          	          	               	               	               	          	          	               	                              	   5.71441	      1759	    slurm-17877
          	          	               	               	               	          	          	               	                              	   5.55516	      2440	    slurm-17878
       100	         1	             20	               	     110, 110, 	      2000	        64	            256	                 HJBLQ_serial_	   4.46645	       936	    slurm-17997
       100	         1	             20	               	     110, 110, 	      2000	         1	            256	                 HJBLQ_serial_	   4.52639	      1319	    slurm-18005
       200	         1	             40	               	     110, 110, 	      1000	         1	            256	  pricing_default_risk_serial_	   54.0433	      3503	    slurm-18034
       100	       0.3	             20	               	     110, 110, 	      4000	        64	            256	             AllenCahn_serial_	 0.0454993	      1841	    slurm-18035
       100	      0.25	             20	               	     110, 110, 	      4000	        64	            256	             AllenCahn_serial_	 0.0628464	      1839	    slurm-18036
       100	       0.2	             20	               	     110, 110, 	      4000	        64	            256	             AllenCahn_serial_	 0.0785208	      1844	    slurm-18037
       100	      0.15	             20	               	     110, 110, 	      4000	        64	            256	             AllenCahn_serial_	 0.0724323	      1836	    slurm-18038
       100	       0.1	             20	               	     110, 110, 	      4000	        64	            256	             AllenCahn_serial_	  0.111076	      1837	    slurm-18039
       100	      0.05	             20	               	     110, 110, 	      4000	        64	            256	             AllenCahn_serial_	  0.177423	      1837	    slurm-18040
       100	         1	             40	           0.01	     110, 110, 	      1000	         1	           1024	  pricing_default_risk_serial_	   56.7858	     12969	    slurm-18891
       100	         1	             40	           0.01	     110, 110, 	      1000	        64	           1024	  pricing_default_risk_serial_	   56.8352	      7857	    slurm-18892
       100	         1	             40	           0.01	     110, 110, 	      1000	       128	           1024	  pricing_default_risk_serial_	   57.1584	      7813	    slurm-18893
       200	         1	             40	           0.01	     110, 110, 	      1000	         1	           1024	  pricing_default_risk_serial_	     54.02	     19119	    slurm-18894
       200	         1	             40	           0.01	     110, 110, 	      1000	        64	           1024	  pricing_default_risk_serial_	   53.8576	     11672	    slurm-18895
       200	         1	             40	           0.01	     110, 110, 	      1000	       128	           1024	  pricing_default_risk_serial_	   53.8325	     11576	    slurm-18896
       300	         1	             40	           0.01	     110, 110, 	      1000	         1	           1024	  pricing_default_risk_serial_	   52.1577	     25719	    slurm-18897
       300	         1	             40	           0.01	     110, 110, 	      1000	        64	           1024	  pricing_default_risk_serial_	   52.3302	     15281	    slurm-18898
       300	         1	             40	           0.01	     110, 110, 	      1000	       128	           1024	  pricing_default_risk_serial_	   51.9112	     15112	    slurm-18899
       400	         1	             40	           0.01	     110, 110, 	      1000	         1	           1024	  pricing_default_risk_serial_	   50.8136	     33436	    slurm-18900
       400	         1	             40	           0.01	     110, 110, 	      1000	        64	           1024	  pricing_default_risk_serial_	   50.9706	     19764	    slurm-18901
       400	         1	             40	           0.01	     110, 110, 	      1000	       128	           1024	  pricing_default_risk_serial_	   51.1087	     19340	    slurm-18902
       500	         1	             40	           0.01	     110, 110, 	      1000	         1	           1024	  pricing_default_risk_serial_	   50.4845	     38845	    slurm-18903
       500	         1	             40	           0.01	     110, 110, 	      1000	        64	           1024	  pricing_default_risk_serial_	   50.2017	     21567	    slurm-18904
       500	         1	             40	           0.01	     110, 110, 	      1000	       128	           1024	  pricing_default_risk_serial_	   50.2958	     21452	    slurm-18905
       100	         1	             20	           0.01	     110, 110, 	      3000	         1	           1024	                 HJBLQ_serial_	   4.53844	     14303	    slurm-18906
       100	         1	             20	           0.01	     110, 110, 	      3000	        64	           1024	                 HJBLQ_serial_	   4.53088	      6713	    slurm-18907
       100	         1	             20	           0.01	     110, 110, 	      3000	       128	           1024	                 HJBLQ_serial_	   4.54966	      6668	    slurm-18908
       100	         1	             20	           0.01	     110, 110, 	      3000	         1	           1024	                 HJBLQ_serial_	   4.54375	     14313	    slurm-18909
       200	         1	             20	           0.01	     110, 110, 	      3000	        64	           1024	                 HJBLQ_serial_	   5.27154	     10564	    slurm-18910
       200	         1	             20	           0.01	     110, 110, 	      3000	       128	           1024	                 HJBLQ_serial_	   5.27283	     10454	    slurm-18911
       100	         1	             20	           0.01	     110, 110, 	      3000	         1	           1024	                 HJBLQ_serial_	    4.5471	     14304	    slurm-18912
       300	         1	             20	           0.01	     110, 110, 	      3000	        64	           1024	                 HJBLQ_serial_	   5.68354	     14626	    slurm-18913
       300	         1	             20	           0.01	     110, 110, 	      3000	       128	           1024	                 HJBLQ_serial_	   5.68666	     14493	    slurm-18914
       100	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	           1024	             AllenCahn_serial_	   0.05377	     19055	    slurm-18915
       100	       0.3	             20	         0.0005	     110, 110, 	      4000	        64	           1024	             AllenCahn_serial_	 0.0582795	      8927	    slurm-18916
       100	       0.3	             20	         0.0005	     110, 110, 	      4000	       128	           1024	             AllenCahn_serial_	 0.0463735	      8832	    slurm-18917
       200	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	           1024	             AllenCahn_serial_	 0.0283579	     30588	    slurm-18918
       200	       0.3	             20	         0.0005	     110, 110, 	      4000	        64	           1024	             AllenCahn_serial_	 0.0280987	     13979	    slurm-18919
       200	       0.3	             20	         0.0005	     110, 110, 	      4000	       128	           1024	             AllenCahn_serial_	 0.0302934	     13870	    slurm-18920
       300	       0.3	             20	         0.0005	     110, 110, 	      4000	        64	           1024	             AllenCahn_serial_	  0.011633	     19487	    slurm-18922
       300	       0.3	             20	         0.0005	     110, 110, 	      4000	       128	           1024	             AllenCahn_serial_	 0.0183672	     19264	    slurm-18923
       200	         1	             20	           0.01	     110, 110, 	      3000	         1	           1024	                 HJBLQ_serial_	   5.27582	     23023	    slurm-18991
       300	         1	             20	           0.01	     110, 110, 	      3000	         1	           1024	                 HJBLQ_serial_	   5.68142	     32234	    slurm-18992
       300	       0.3	             20	         0.0005	     110, 110, 	      4000	         1	           1024	             AllenCahn_serial_	 0.0175834	     42786	    slurm-19081
       100	         1	             40	           0.01	     110, 110, 	      1000	        64	            256	  pricing_default_risk_serial_	   57.6145	      1794	    slurm-20819
       100	         1	             40	           0.01	     110, 110, 	      1000	       128	            256	  pricing_default_risk_serial_	   56.9175	      1787	    slurm-20820
       100	         1	             40	           0.01	     110, 110, 	      1000	       256	            256	  pricing_default_risk_serial_	   57.4188	      1785	    slurm-20821
       200	         1	             40	           0.01	     110, 110, 	      1000	         1	            256	  pricing_default_risk_serial_	   54.4366	      3546	    slurm-20822
